product,price
"Samsung Galaxy A21s SM-A217FZKGEGY Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,769.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Blue","2,549.00 EGP"
"Samsung Galaxy A21s Dual SIM Mobile, 6.5 Inches, 128 GB, 4 GB RAM, 4G LTE - Blue","3,175.00 EGP"
"Samsung Galaxy M12 Dual SIM Mobile - 6.5 inches, 4GB RAM, 64GB - Black","2,600.00 EGP"
"Samsung SM-R850 Galaxy Watch3 Smart Watch, 41 mm - Mystic Silver","4,844.75 EGP"
"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Black","1,749.00 EGP"
"Samsung Galaxy Watch Active 2, 44 mm Aluminium, Aqua Black - SM-R820NZKAKSA","3,687.99 EGP"
"Samsung EB-P1100C Fast Charging Power Bank with micro USB Cable, 15 Watt - 10000 mAh - Silver",280.00 EGP
"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Blue","1,749.00 EGP"
"Samsung Galaxy Tab S6 Lite - 10.4 Inches, 64 GB, 4 GB RAM, 4G LTE - Oxford Gray","7,875.00 EGP"
"Samsung Galaxy S21 Dual SIM Mobile - 6.2 inches, 128 GB, 8 GB RAM, 5G - Gray","11,999.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - Black","2,713.00 EGP"
"Samsung Galaxy Tab A T515 2019 - 10.1 Inch, 32GB, 2GB RAM, 4G LTE, Silver","4,249.00 EGP"
"Samsung Galaxy A72 Dual SIM - 6.7 Inches, 8 GB RAM, 128 GB - Blue","6,735.00 EGP"
"Samsung Galaxy A52 Dual Sim, 128GB, 8GB RAM, 4G LTE - Awesome Black","5,699.00 EGP"
"Samsung EB-U1200CSEGWW Wireless Fast Charging Power Bank, 10000 mAh - Silver",796.00 EGP
"Samsung Galaxy S21 Ultra Dual SIM Mobile - 6.8 Inches, 256 GB, 12 GB RAM, 5G - Silver","19,677.00 EGP"
"Samsung Galaxy M32 Dual SIM - 6.4 Inche, 128 GB, 6 GB RAM, 4G LTE -","4,449.00 EGP"
"Samsung SM-R840 Galaxy Watch3 Smart Watch, 45 mm - Mystic Black","5,199.00 EGP"
"Samsung Galaxy A21s SM-A217FZBGEGY Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Blue","2,795.00 EGP"
"Samsung Galaxy A72 Dual SIM - 6.7 Inches, 8 GB RAM, 256 GB - Black","7,399.00 EGP"
"Samsung Galaxy Tab A T295 2019 - 8 Inch, 32GB, 2GB RAM, 4G LTE, Black","2,499.00 EGP"
"Samsung Galaxy S9 Dual Sim - 64 GB, 4 GB Ram, 4G LTE, Titanium Grey - Middle East Version, Sm-G960Fzadksa","14,999.00 EGP"
"Samsung Galaxy Tab A T295 2019 - 8 Inch, 32GB, 2GB RAM, 4G LTE, Silver","2,499.00 EGP"
"Samsung Galaxy M12 Dual SIM Mobile - 6.5 inches, 4GB RAM, 128GB - Black","2,888.00 EGP"
"Samsung Galaxy A02s Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,425.00 EGP"
"Samsung Galaxy A71 Dual SIM - 128GB, 8GB RAM, 4G LTE, Haze Crush Silver","5,600.00 EGP"
"Samsung Galaxy SM-R800NZSAEGY Smart Watch - Silicon Band, Silver","5,999.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - White","2,549.00 EGP"
"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - Violet","6,555.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - White","2,749.00 EGP"
"Samsung SM-R840 Galaxy Watch3 Smart Watch, 45 mm - Mystic Silver","5,550.00 EGP"
"Samsung Galaxy A72 Dual SIM - 6.7 Inches, 8 GB RAM, 128 GB - Black","7,499.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,555.00 EGP"
"Samsung Galaxy M32 Dual SIM - 6.4 Inche, 128 GB, 6 GB RAM, 4G LTE -","4,449.00 EGP"
"Samsung Galaxy A10s Dual SIM - 32GB, 2GB RAM, 4G LTE, Tactile Blue","2,199.00 EGP"
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - Blue","2,749.00 EGP"
"Samsung Galaxy A32 Dual SIM - 6.4 Inches, 6GB RAM, 128GB, 4G LTE - Blue","4,040.00 EGP"
"Samsung Galaxy S21 Dual SIM Mobile - 6.2 inches, 128 GB, 8 GB RAM, 5G - Violet","11,999.00 EGP"
"Samsung Galaxy S21 Ultra Dual SIM Mobile - 6.8 Inches, 512 GB,16 GB RAM, 5G","25,999.00 EGP"
"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Red","1,749.00 EGP"
"Samsung Galaxy A21s SM-A217FZWGEGY Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - White","3,129.09 EGP"
"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 128 GB - White","5,949.00 EGP"
"Samsung Galaxy A21s Dual SIM Mobile, 6.5 Inches, 128 GB, 4 GB RAM, 4G LTE - Black","3,250.00 EGP"
"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - Black","6,340.00 EGP"
"Samsung Galaxy Tab S7, SM-T875, 11 inch, 128GB, 6GB RAM, 4G LTE - Mystic Bronze","12,999.00 EGP"
"Samsung Galaxy A72 Dual SIM - 6.7 Inches, 8 GB RAM, 256 GB - Awesome Blue","7,549.00 EGP"
"Samsung Galaxy M32 Dual SIM - 6.4 Inche, 128 GB, 6 GB RAM, 4G LTE -","4,449.00 EGP"
"Samsung Galaxy A21s Dual SIM Mobile, 6.5 Inches, 128 GB, 4 GB RAM, 4G LTE - White","3,350.00 EGP"
"Samsung Galaxy M11 Dual SIM - 32GB, 3GB RAM, 4G LTE - Metallic Blue","2,250.00 EGP"
"Samsung SM-B310E Dual Sim - 2G GSM, Black",570.00 EGP
"Samsung Galaxy A8 Dual Sim - 64 GB, 4 GB Ram, 4G LTE, Gold, Sm-A530FzdgXSg","5,999.00 EGP"
"Samsung Galaxy Note 20 Ultra Mobile Phone, Hybrid Dual SIM, 6.9 Inch, 256 GB, 8 GB RAM, 4G LTE, 4500mAh - Mystic White","16,210.00 EGP"
"Samsung Galaxy A52 Dual SIM - 6.5 inches, 8 GB RAM, 256 GB - White","6,750.00 EGP"
"Samsung Galaxy Note 20 Ultra Mobile Phone, Hybrid Dual SIM, 6.9 Inch, 256 GB, 8 GB RAM, 4G LTE, 4500mAh - Mystic Bronze","16,990.00 EGP"
"Samsung Galaxy M51 Dual SIM Mobile - 6.7 Inches, 128 GB, 8 GB RAM, 4G LTE - White","5,799.00 EGP"
"samsung Galaxy Note 20 Ultra Mobile Phone, Hybrid Dual SIM, 6.9 Inch, 256 GB, 12 GB RAM, 5G LTE, 4500mAh - Mystic Bronze","18,799.00 EGP"
"Samsung Galaxy A51 Dual SIM - 128GB, 6GB RAM, 4G LTE, Prism Crush Black","4,666.00 EGP"
